field_id,default_name,domain,data_type,semantic_meaning,source_or_derivation,total_eligible,ledger_eligibility,status,no_inference_rule,evidence_notes
raw_duty_code,Duty Code,source_role,code,Preserved roster/company duty code,company/Maint source,NO,PROPOSED,PROPOSED,Do not infer PF/PM or unconditional PIC/FO without required context,FOM input evidence
credited_pic,PIC Time,credited_experience,duration,Personal credited PIC experience time,manual or context-specific verified FOM rule,PROFILE_SPECIFIC,PROPOSED,PROPOSED,Do not use universal Captain shortcut,FOM SP.5.1 context
credited_fo,FO or SIC Time,credited_experience,duration,Personal credited FO experience time,manual or context-specific verified FOM rule,PROFILE_SPECIFIC,PROPOSED,PROPOSED,Do not use universal FO shortcut,FOM SP.5.1 context
pf_pm,PF or PM,operational_role,enum,Pilot Flying or Pilot Monitoring role,matching source or user entry,NO,PROPOSED,OPEN,Do not infer from Duty Code or personal T/O/L/D,DATA-002 OPEN
personal_takeoff_count,Takeoffs,count,count,Personal takeoff count,manual/Maint/company toCnt,PROFILE_SPECIFIC,PROPOSED,PROPOSED,Do not convert presence into PF,Maint pilot section
personal_landing_count,Landings,count,count,Personal landing count,manual/Maint/company ldCnt,PROFILE_SPECIFIC,PROPOSED,PROPOSED,Do not convert presence into PM,Maint pilot section
day_takeoff_count,Day Takeoffs,count,count,Personal takeoffs classified Day,source/user or bounded helper candidate,PROFILE_SPECIFIC,PROPOSED,PROPOSED,Require independently sufficient departure inputs and never infer from arrival state,Profile evidence
night_takeoff_count,Night Takeoffs,count,count,Personal takeoffs classified Night,source/user or bounded helper candidate,PROFILE_SPECIFIC,PROPOSED,PROPOSED,Require independently sufficient departure inputs and never infer from arrival state,Profile evidence
day_landing_count,Day Landings,count,count,Personal landings classified Day,source/user or bounded helper candidate,PROFILE_SPECIFIC,PROPOSED,PROPOSED,Require independently sufficient arrival inputs and never infer from departure state,Profile evidence
night_landing_count,Night Landings,count,count,Personal landings classified Night,source/user or bounded helper candidate,PROFILE_SPECIFIC,PROPOSED,PROPOSED,Require independently sufficient arrival inputs and never infer from departure state,Profile evidence
cross_country,Cross-Country,duration,duration,Jurisdiction-sensitive cross-country time,matching source or user entry,OPEN,PROPOSED,PROPOSED,Never infer from Departure not equal Arrival,Paper and digital reference field
approach_count,Approach Count,count,count,Personal instrument approach count,matching source or user entry,PROFILE_SPECIFIC,PROPOSED,PROPOSED,Do not invent from route or Instrument Flight Time,Paper profile evidence
approach_type,Approach Type,approach,text,User/source-recorded approach type or detail,matching source or user entry,NO,PROPOSED,PROPOSED,Do not infer from airport or Instrument Flight Time,Paper profile evidence
landing_detail,Landing Detail,landing,text,Manual uninterpreted landing detail,manual or matching source,NO,PROPOSED,PROPOSED,Do not parse into operational facts,Active configuration contract
remark,Remark,notes,text,Personal free-text logbook note,user entry or matching import field,NO,PROPOSED,PROPOSED,Do not translate or manufacture endorsement text,Recurring profile field
crew_snapshot,Crew,crew,structured_list,Searchable participant/source snapshot,manual or CrewConnex existing-record enrichment,NO,OPEN,PROPOSED,CrewConnex cannot create an independent FlightRecord,Structured detail/search candidate
auto_land_count,Auto Land Count,aircraft_operation,count,Aircraft operational-log Auto Land count,Maint operational source,NO,NO,SEPARATE_DOMAIN,No automatic population and no built-in Known Field,May be Custom Field
auto_land_runway,Auto Land RWY,aircraft_operation,text,Aircraft operational-log runway detail,Maint operational source,NO,NO,SEPARATE_DOMAIN,No automatic population and no built-in Known Field,Alpha-K A/L slot does not force semantic
auto_land_rvr_vis,Auto Land RVR or VIS,aircraft_operation,text,Aircraft operational visibility detail,Maint operational source,NO,NO,SEPARATE_DOMAIN,No automatic population and no built-in Known Field,May be Custom Field
auto_land_su,Auto Land S or U,aircraft_operation,text,Aircraft operational-log status detail,Maint operational source,NO,NO,SEPARATE_DOMAIN,No automatic population and no built-in Known Field,May be Custom Field
total_time,Total Time,credited_experience,duration,Generic personal total-time semantic,unresolved,OPEN,OPEN,OPEN,Do not universally equate to raw Block or generic FOM-prorated duration,Augmented-crew meaning unresolved
credited_block_or_airborne,Generic Credited Block or Airborne,credited_experience,duration,Unresolved generic augmented-crew duration,unresolved,OPEN,OPEN,OPEN,Do not invent replacement semantic from FOM PIC/FO table,DATA/TOTAL open boundary
simulator_session_time,Simulator or FSTD Time,simulator,duration,Separate synthetic or training-device session duration,manual or matching source,PROFILE_SPECIFIC,PROPOSED,PROPOSED,Do not include in actual-flight OOOI or FOM totals,SimulatorRecord remains separate
malfunction,Malfunction,maintenance,text,Aircraft malfunction description,Maint maintenance section,NO,NO,SEPARATE_DOMAIN,Do not copy into built-in personal Pilot Logbook fields,Mixed-document boundary
corrective_action,Corrective Action,maintenance,text,Maintenance corrective-action description,Maint maintenance section,NO,NO,SEPARATE_DOMAIN,Do not copy into built-in personal Pilot Logbook fields,Mixed-document boundary
mel_defer,MEL or Defer,maintenance,text,Technical defer status,Maint maintenance section,NO,NO,SEPARATE_DOMAIN,Do not copy into built-in personal Pilot Logbook fields,Mixed-document boundary
fuel_oil_management,Fuel or Oil Technical Management,maintenance,text,Aircraft fuel/oil operational technical data,Maint maintenance section,NO,NO,SEPARATE_DOMAIN,Do not copy into built-in personal Pilot Logbook fields,Mixed-document boundary
maintenance_release,Maintenance Release,maintenance,text,Maintenance release or technical-status evidence,Maint maintenance section,NO,NO,SEPARATE_DOMAIN,Do not copy into built-in personal Pilot Logbook fields,Mixed-document boundary
